start_time_sec,event_count
0,0
60,1
120,1
180,2
240,1
300,1
360,2
420,1
480,1
540,1
600,2
660,2
720,3
780,0
840,1
900,3
960,2
1020,4
1080,3
1140,1
1200,20
1260,28
1320,13
1380,5
1440,6
1500,4
1560,1
1620,4
1680,5
1740,2
1800,1
1860,1
1920,3
1980,3
2040,6
2100,2
2160,0
2220,0
2280,3
2340,1
2400,2
2460,1
2520,3
2580,0
2640,2
2700,1
2760,3
2820,2
2880,2
2940,1
3000,1
3060,1
3120,2
3180,3
3240,2
3300,1
3360,0
3420,2
3480,0
3540,1
3600,2
3660,0
3720,2
3780,1
3840,2
3900,1
3960,0
4020,1
4080,2
4140,1
4200,3
4260,0
4320,0
4380,1
4440,5
4500,1
4560,0
4620,2
4680,1
4740,18
4800,17
4860,21
4920,4
4980,3
5040,1
5100,4
5160,6
5220,3
5280,1
5340,1
5400,3
5460,5
5520,2
