start_time_sec,event_count,segment
0.0,55.0,230323_001_0001_Tr1
60.0,98.0,230323_001_0001_Tr1
120.0,67.0,230323_001_0001_Tr1
180.0,18.0,230323_001_0001_Tr1
240.0,27.0,230323_001_0001_Tr1
300.0,13.0,230323_001_0001_Tr1
360.0,28.0,230323_001_0001_Tr1
420.0,15.0,230323_001_0001_Tr1
480.0,7.0,230323_001_0001_Tr1
540.0,18.0,230323_001_0001_Tr1
600.0,17.0,230323_001_0001_Tr1
660.0,3.0,230323_001_0001_Tr1
720.0,10.0,230323_001_0001_Tr1
780.0,19.0,230323_001_0001_Tr1
840.0,4.0,230323_001_0001_Tr1
900.0,2.0,230323_001_0001_Tr1
960.0,3.0,230323_001_0001_Tr1
1020.0,1.0,230323_001_0001_Tr1
1080.0,2.0,230323_001_0001_Tr1
1140.0,0.0,230323_001_0001_Tr1
1200.0,0.0,230323_001_0001_Tr1
1260.0,2.0,230323_001_0001_Tr1
1320.0,1.0,230323_001_0001_Tr1
1380.0,1.0,230323_001_0001_Tr1
1440.0,1.0,230323_001_0001_Tr1
1500.0,0.0,230323_001_0001_Tr1
1560.0,1.0,230323_001_0001_Tr1
1620.0,3.0,230323_001_0001_Tr1
1680.0,1.0,230323_001_0001_Tr1
1740.0,3.0,230323_001_0001_Tr1
1800.0,2.0,230323_001_0001_Tr1
1860.0,1.0,230323_001_0001_Tr1
1920.0,4.0,230323_001_0001_Tr1
1980.0,2.0,230323_001_0001_Tr1
2040.0,3.0,230323_001_0001_Tr1
2100.0,2.0,230323_001_0001_Tr1
2160.0,0.0,230323_001_0001_Tr1
2220.0,0.0,230323_001_0001_Tr1
2280.0,0.0,230323_001_0001_Tr1
2340.0,0.0,230323_001_0001_Tr1
2400.0,0.0,230323_001_0001_Tr1
2460.0,0.0,230323_001_0001_Tr1
2520.0,1.0,230323_001_0001_Tr1
2580.0,0.0,230323_001_0001_Tr1
2640.0,0.0,230323_001_0001_Tr1
2700.0,2.0,230323_001_0001_Tr1
2760.0,0.0,230323_001_0001_Tr1
2820.0,1.0,230323_001_0001_Tr1
2880.0,0.0,230323_001_0001_Tr1
2940.0,0.0,230323_001_0001_Tr1
3000.0,2.0,230323_001_0001_Tr1
3060.0,0.0,230323_001_0001_Tr1
3120.0,0.0,230323_001_0001_Tr1
3180.0,0.0,230323_001_0001_Tr1
3240.0,1.0,230323_001_0001_Tr1
3300.0,0.0,230323_001_0001_Tr1
3360.0,0.0,230323_001_0001_Tr1
3420.0,0.0,230323_001_0001_Tr1
3480.0,0.0,230323_001_0001_Tr1
3540.0,4.0,230323_001_0001_Tr1
3600.0,6.0,230323_001_0001_Tr1
3660.0,34.0,230323_001_0001_Tr1
3720.0,10.0,230323_001_0001_Tr1
3780.0,9.0,230323_001_0001_Tr1
3840.0,21.0,230323_001_0001_Tr1
3900.0,14.0,230323_001_0001_Tr1
3960.0,4.0,230323_001_0001_Tr1
4020.0,4.0,230323_001_0001_Tr1
4080.0,4.0,230323_001_0001_Tr1
4140.0,4.0,230323_001_0001_Tr1
4200.0,3.0,230323_001_0001_Tr1
4260.0,6.0,230323_001_0001_Tr1
4320.0,2.0,230323_001_0001_Tr1
4380.0,4.0,230323_001_0001_Tr1
4440.0,1.0,230323_001_0001_Tr1
4500.0,2.0,230323_001_0001_Tr1
4560.0,2.0,230323_001_0001_Tr1
4620.0,5.0,230323_001_0001_Tr1
4680.0,1.0,230323_001_0001_Tr1
4740.0,1.0,230323_001_0001_Tr1
4800.0,1.0,230323_001_0001_Tr1
4860.0,2.0,230323_001_0001_Tr1
4920.0,1.0,230323_001_0001_Tr1
4980.0,3.0,230323_001_0001_Tr1
5040.0,0.0,230323_001_0001_Tr1
5100.0,3.0,230323_001_0001_Tr1
5160.0,0.0,230323_001_0001_Tr1
5220.0,1.0,230323_001_0001_Tr1
5280.0,1.0,230323_001_0001_Tr1
5340.0,2.0,230323_001_0001_Tr1
5400.0,1.0,230323_001_0001_Tr1
5460.0,1.0,230323_001_0001_Tr1
5520.0,,230323_001_0001_Tr1
5580.0,1.0,230323_001_0002_Tr1
5640.0,2.0,230323_001_0002_Tr1
5700.0,1.0,230323_001_0002_Tr1
5760.0,0.0,230323_001_0002_Tr1
5820.0,0.0,230323_001_0002_Tr1
5880.0,1.0,230323_001_0002_Tr1
5940.0,5.0,230323_001_0002_Tr1
