start_time_sec,event_count,segment
0.0,541.0,230323_001_0001_Tr1
60.0,596.0,230323_001_0001_Tr1
120.0,600.0,230323_001_0001_Tr1
180.0,616.0,230323_001_0001_Tr1
240.0,539.0,230323_001_0001_Tr1
300.0,571.0,230323_001_0001_Tr1
360.0,588.0,230323_001_0001_Tr1
420.0,526.0,230323_001_0001_Tr1
480.0,595.0,230323_001_0001_Tr1
540.0,593.0,230323_001_0001_Tr1
600.0,495.0,230323_001_0001_Tr1
660.0,586.0,230323_001_0001_Tr1
720.0,559.0,230323_001_0001_Tr1
780.0,600.0,230323_001_0001_Tr1
840.0,596.0,230323_001_0001_Tr1
900.0,486.0,230323_001_0001_Tr1
960.0,533.0,230323_001_0001_Tr1
1020.0,564.0,230323_001_0001_Tr1
1080.0,536.0,230323_001_0001_Tr1
1140.0,556.0,230323_001_0001_Tr1
1200.0,568.0,230323_001_0001_Tr1
1260.0,586.0,230323_001_0001_Tr1
1320.0,476.0,230323_001_0001_Tr1
1380.0,597.0,230323_001_0001_Tr1
1440.0,592.0,230323_001_0001_Tr1
1500.0,516.0,230323_001_0001_Tr1
1560.0,537.0,230323_001_0001_Tr1
1620.0,604.0,230323_001_0001_Tr1
1680.0,532.0,230323_001_0001_Tr1
1740.0,557.0,230323_001_0001_Tr1
1800.0,589.0,230323_001_0001_Tr1
1860.0,584.0,230323_001_0001_Tr1
1920.0,491.0,230323_001_0001_Tr1
1980.0,573.0,230323_001_0001_Tr1
2040.0,551.0,230323_001_0001_Tr1
2100.0,541.0,230323_001_0001_Tr1
2160.0,522.0,230323_001_0001_Tr1
2220.0,586.0,230323_001_0001_Tr1
2280.0,592.0,230323_001_0001_Tr1
2340.0,557.0,230323_001_0001_Tr1
2400.0,631.0,230323_001_0001_Tr1
2460.0,575.0,230323_001_0001_Tr1
2520.0,563.0,230323_001_0001_Tr1
2580.0,552.0,230323_001_0001_Tr1
2640.0,650.0,230323_001_0001_Tr1
2700.0,547.0,230323_001_0001_Tr1
2760.0,580.0,230323_001_0001_Tr1
2820.0,553.0,230323_001_0001_Tr1
2880.0,559.0,230323_001_0001_Tr1
2940.0,527.0,230323_001_0001_Tr1
3000.0,595.0,230323_001_0001_Tr1
3060.0,510.0,230323_001_0001_Tr1
3120.0,540.0,230323_001_0001_Tr1
3180.0,592.0,230323_001_0001_Tr1
3240.0,556.0,230323_001_0001_Tr1
3300.0,571.0,230323_001_0001_Tr1
3360.0,510.0,230323_001_0001_Tr1
3420.0,590.0,230323_001_0001_Tr1
3480.0,560.0,230323_001_0001_Tr1
3540.0,539.0,230323_001_0001_Tr1
3600.0,563.0,230323_001_0001_Tr1
3660.0,514.0,230323_001_0001_Tr1
3720.0,515.0,230323_001_0001_Tr1
3780.0,600.0,230323_001_0001_Tr1
3840.0,557.0,230323_001_0001_Tr1
3900.0,567.0,230323_001_0001_Tr1
3960.0,548.0,230323_001_0001_Tr1
4020.0,560.0,230323_001_0001_Tr1
4080.0,540.0,230323_001_0001_Tr1
4140.0,636.0,230323_001_0001_Tr1
4200.0,563.0,230323_001_0001_Tr1
4260.0,516.0,230323_001_0001_Tr1
4320.0,583.0,230323_001_0001_Tr1
4380.0,590.0,230323_001_0001_Tr1
4440.0,608.0,230323_001_0001_Tr1
4500.0,568.0,230323_001_0001_Tr1
4560.0,583.0,230323_001_0001_Tr1
4620.0,565.0,230323_001_0001_Tr1
4680.0,574.0,230323_001_0001_Tr1
4740.0,598.0,230323_001_0001_Tr1
4800.0,607.0,230323_001_0001_Tr1
4860.0,587.0,230323_001_0001_Tr1
4920.0,631.0,230323_001_0001_Tr1
4980.0,577.0,230323_001_0001_Tr1
5040.0,614.0,230323_001_0001_Tr1
5100.0,642.0,230323_001_0001_Tr1
5160.0,562.0,230323_001_0001_Tr1
5220.0,630.0,230323_001_0001_Tr1
5280.0,589.0,230323_001_0001_Tr1
5340.0,598.0,230323_001_0001_Tr1
5400.0,598.0,230323_001_0001_Tr1
5460.0,640.0,230323_001_0001_Tr1
5520.0,622.0,230323_001_0001_Tr1
5580.0,,230323_001_0001_Tr1
5640.0,607.0,230323_001_0002_Tr1
5700.0,534.0,230323_001_0002_Tr1
5760.0,634.0,230323_001_0002_Tr1
5820.0,589.0,230323_001_0002_Tr1
5880.0,620.0,230323_001_0002_Tr1
5940.0,581.0,230323_001_0002_Tr1
6000.0,693.0,230323_001_0002_Tr1
6060.0,576.0,230323_001_0002_Tr1
6120.0,569.0,230323_001_0002_Tr1
6180.0,562.0,230323_001_0002_Tr1
6240.0,554.0,230323_001_0002_Tr1
6300.0,618.0,230323_001_0002_Tr1
6360.0,595.0,230323_001_0002_Tr1
6420.0,593.0,230323_001_0002_Tr1
6480.0,602.0,230323_001_0002_Tr1
6540.0,567.0,230323_001_0002_Tr1
6600.0,603.0,230323_001_0002_Tr1
6660.0,609.0,230323_001_0002_Tr1
6720.0,565.0,230323_001_0002_Tr1
6780.0,561.0,230323_001_0002_Tr1
6840.0,630.0,230323_001_0002_Tr1
6900.0,604.0,230323_001_0002_Tr1
6960.0,528.0,230323_001_0002_Tr1
7020.0,651.0,230323_001_0002_Tr1
7080.0,587.0,230323_001_0002_Tr1
7140.0,581.0,230323_001_0002_Tr1
7200.0,574.0,230323_001_0002_Tr1
7260.0,572.0,230323_001_0002_Tr1
7320.0,545.0,230323_001_0002_Tr1
7380.0,631.0,230323_001_0002_Tr1
7440.0,595.0,230323_001_0002_Tr1
7500.0,570.0,230323_001_0002_Tr1
7560.0,613.0,230323_001_0002_Tr1
7620.0,617.0,230323_001_0002_Tr1
7680.0,590.0,230323_001_0002_Tr1
7740.0,639.0,230323_001_0002_Tr1
7800.0,624.0,230323_001_0002_Tr1
7860.0,618.0,230323_001_0002_Tr1
7920.0,581.0,230323_001_0002_Tr1
7980.0,590.0,230323_001_0002_Tr1
8040.0,622.0,230323_001_0002_Tr1
8100.0,576.0,230323_001_0002_Tr1
8160.0,626.0,230323_001_0002_Tr1
8220.0,535.0,230323_001_0002_Tr1
8280.0,647.0,230323_001_0002_Tr1
8340.0,613.0,230323_001_0002_Tr1
8400.0,637.0,230323_001_0002_Tr1
8460.0,594.0,230323_001_0002_Tr1
8520.0,557.0,230323_001_0002_Tr1
8580.0,666.0,230323_001_0002_Tr1
8640.0,614.0,230323_001_0002_Tr1
8700.0,613.0,230323_001_0002_Tr1
8760.0,633.0,230323_001_0002_Tr1
8820.0,633.0,230323_001_0002_Tr1
8880.0,580.0,230323_001_0002_Tr1
8940.0,644.0,230323_001_0002_Tr1
9000.0,607.0,230323_001_0002_Tr1
9060.0,557.0,230323_001_0002_Tr1
9120.0,622.0,230323_001_0002_Tr1
9180.0,642.0,230323_001_0002_Tr1
9240.0,578.0,230323_001_0002_Tr1
9300.0,623.0,230323_001_0002_Tr1
9360.0,585.0,230323_001_0002_Tr1
9420.0,498.0,230323_001_0002_Tr1
9480.0,623.0,230323_001_0002_Tr1
9540.0,586.0,230323_001_0002_Tr1
9600.0,637.0,230323_001_0002_Tr1
9660.0,612.0,230323_001_0002_Tr1
9720.0,592.0,230323_001_0002_Tr1
9780.0,542.0,230323_001_0002_Tr1
9840.0,556.0,230323_001_0002_Tr1
9900.0,526.0,230323_001_0002_Tr1
9960.0,577.0,230323_001_0002_Tr1
10020.0,660.0,230323_001_0002_Tr1
10080.0,632.0,230323_001_0002_Tr1
10140.0,636.0,230323_001_0002_Tr1
10200.0,588.0,230323_001_0002_Tr1
10260.0,665.0,230323_001_0002_Tr1
10320.0,554.0,230323_001_0002_Tr1
10380.0,586.0,230323_001_0002_Tr1
10440.0,653.0,230323_001_0002_Tr1
10500.0,620.0,230323_001_0002_Tr1
10560.0,620.0,230323_001_0002_Tr1
10620.0,552.0,230323_001_0002_Tr1
10680.0,573.0,230323_001_0002_Tr1
10740.0,701.0,230323_001_0002_Tr1
10800.0,546.0,230323_001_0002_Tr1
10860.0,591.0,230323_001_0002_Tr1
10920.0,583.0,230323_001_0002_Tr1
10980.0,574.0,230323_001_0002_Tr1
11040.0,527.0,230323_001_0002_Tr1
11100.0,585.0,230323_001_0002_Tr1
11160.0,637.0,230323_001_0002_Tr1
11220.0,,230323_001_0002_Tr1
11280.0,634.0,230323_001_0003_Tr1
11340.0,627.0,230323_001_0003_Tr1
11400.0,548.0,230323_001_0003_Tr1
11460.0,624.0,230323_001_0003_Tr1
11520.0,672.0,230323_001_0003_Tr1
11580.0,605.0,230323_001_0003_Tr1
11640.0,630.0,230323_001_0003_Tr1
11700.0,664.0,230323_001_0003_Tr1
11760.0,568.0,230323_001_0003_Tr1
11820.0,591.0,230323_001_0003_Tr1
11880.0,617.0,230323_001_0003_Tr1
11940.0,631.0,230323_001_0003_Tr1
12000.0,587.0,230323_001_0003_Tr1
12060.0,646.0,230323_001_0003_Tr1
12120.0,647.0,230323_001_0003_Tr1
12180.0,641.0,230323_001_0003_Tr1
12240.0,649.0,230323_001_0003_Tr1
12300.0,693.0,230323_001_0003_Tr1
12360.0,613.0,230323_001_0003_Tr1
12420.0,702.0,230323_001_0003_Tr1
12480.0,672.0,230323_001_0003_Tr1
12540.0,606.0,230323_001_0003_Tr1
12600.0,660.0,230323_001_0003_Tr1
12660.0,685.0,230323_001_0003_Tr1
12720.0,687.0,230323_001_0003_Tr1
12780.0,683.0,230323_001_0003_Tr1
12840.0,682.0,230323_001_0003_Tr1
12900.0,630.0,230323_001_0003_Tr1
12960.0,633.0,230323_001_0003_Tr1
13020.0,623.0,230323_001_0003_Tr1
13080.0,618.0,230323_001_0003_Tr1
13140.0,640.0,230323_001_0003_Tr1
13200.0,567.0,230323_001_0003_Tr1
13260.0,664.0,230323_001_0003_Tr1
13320.0,585.0,230323_001_0003_Tr1
13380.0,591.0,230323_001_0003_Tr1
13440.0,643.0,230323_001_0003_Tr1
13500.0,647.0,230323_001_0003_Tr1
13560.0,563.0,230323_001_0003_Tr1
13620.0,671.0,230323_001_0003_Tr1
13680.0,686.0,230323_001_0003_Tr1
13740.0,632.0,230323_001_0003_Tr1
13800.0,684.0,230323_001_0003_Tr1
13860.0,696.0,230323_001_0003_Tr1
13920.0,664.0,230323_001_0003_Tr1
13980.0,687.0,230323_001_0003_Tr1
14040.0,671.0,230323_001_0003_Tr1
14100.0,665.0,230323_001_0003_Tr1
14160.0,633.0,230323_001_0003_Tr1
14220.0,612.0,230323_001_0003_Tr1
14280.0,685.0,230323_001_0003_Tr1
14340.0,666.0,230323_001_0003_Tr1
14400.0,684.0,230323_001_0003_Tr1
14460.0,650.0,230323_001_0003_Tr1
14520.0,674.0,230323_001_0003_Tr1
14580.0,653.0,230323_001_0003_Tr1
14640.0,586.0,230323_001_0003_Tr1
14700.0,650.0,230323_001_0003_Tr1
14760.0,590.0,230323_001_0003_Tr1
14820.0,634.0,230323_001_0003_Tr1
14880.0,604.0,230323_001_0003_Tr1
14940.0,577.0,230323_001_0003_Tr1
15000.0,611.0,230323_001_0003_Tr1
15060.0,650.0,230323_001_0003_Tr1
15120.0,615.0,230323_001_0003_Tr1
