start_time_sec,event_count
0,744
60,720
120,721
180,688
240,698
300,728
360,707
420,683
480,684
540,710
600,654
660,718
720,707
780,715
840,701
900,693
960,730
1020,706
1080,703
1140,721
1200,697
1260,686
1320,719
1380,727
1440,730
1500,704
1560,724
1620,715
1680,708
1740,703
1800,719
1860,716
1920,712
1980,713
2040,700
2100,720
2160,699
2220,712
2280,678
2340,735
2400,713
2460,680
2520,689
2580,710
2640,733
2700,695
2760,740
2820,742
2880,670
2940,688
3000,692
3060,685
3120,716
3180,678
3240,680
3300,690
3360,703
3420,650
3480,678
3540,725
3600,661
3660,691
3720,692
3780,698
3840,660
3900,692
3960,716
4020,717
4080,705
4140,663
4200,690
4260,707
4320,695
4380,705
4440,684
4500,698
4560,723
4620,721
4680,695
4740,654
4800,726
4860,689
4920,679
4980,703
5040,720
5100,702
5160,661
5220,679
5280,727
5340,690
5400,718
5460,673
5520,736
5580,109
